"","nMissDetYr","nMissDetYrLci","nMissDetYrUci","nMissSum","nMissSumLci","nMissSumUci"
"0-23",29.5709875555213,1.40055414586262,180.853470255707,295.167254817802,13.4629207212146,1807.99208181966
"24-29",9.94699459196286,0.471113941950358,60.8349141939748,99.3183279741118,4.5595214739869,608.197523994231
"30-35",9.59905036119012,0.4546344539379,58.7069189258914,95.8486918587024,4.40453278618031,586.927377505715
"36-47",5.46594425739528,0.258880461005083,33.4292179224031,54.6474159650452,2.57677800114324,334.280152615123
"48-59",3.2218256047253,0.152593524293775,19.7043923568413,32.2985580148648,1.60623721054954,197.124225536025
"60-71",1.87177638114514,0.0886518979394408,11.4476140993662,18.8938422765148,1.06259744445784,114.652219458725
"72-83",1.17574358848196,0.0556860860405164,7.19074084721118,12.0365061662743,0.83593114185987,72.1864787535664
"84-95",0.634115263407876,0.0300332465885078,3.87819127494825,6.69097759741895,0.650157429225275,39.1317377128227
"96-107",0.301070925550613,0.014259453871363,1.84132239671379,3.38476990196949,0.51665518517699,18.7872846136012
"108-119",0.129703314817876,0.00614306556246147,0.793253676240565,1.65584688255536,0.420244390001217,8.29135049678224
"120-131",0.0522160604737391,0.00247308007011263,0.31934867653733,0.842180395984496,0.344750591948232,3.5135065566204
"132-143",0.0199023644171822,0.000942624555389547,0.121721050552775,0.467746228879838,0.278148830261912,1.48593309023577
"144-155",0.00788126174289364,0.000373275792291798,0.0482010799781262,0.329120659462228,0.25404079995621,0.732318841814554
"156-167",0.00343581095808561,0.000162728392912551,0.0210131073149212,0.254008441501469,0.221277615849738,0.429781405069824
"168-179",0.000824194986805701,3.90358862247189e-05,0.00504070157451798,0.108135657637838,0.100284066632028,0.15030072351496
"180-191",4.82587427990019e-05,2.28565184623467e-06,0.000295146081577094,0.0137686217330263,0.0133088908234986,0.0162374951208072
"192-203",4.19429542364131e-06,1.98652068468259e-07,2.56519293181851e-05,0.0026494338916901,0.00260947745813837,0.00286401023063554
"204-",5.24683515150168e-07,2.48502918960559e-08,3.20891665598613e-06,0.000827377168933476,0.000822378836700934,0.000854219500341835
"p1",1.28900640076456e-07,6.10504892758369e-09,7.88344590529454e-07,0.000358636744610485,0.000357408788698997,0.000365231184115015
"p2",0,0,0,0,0,0
"p3",0,0,0,0,0,0
"p4",0,0,0,0,0,0
"p5",0,0,0,0,0,0
"p6",0,0,0,0,0,0
