,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
0-23,20,18,11,9,6,4,3,2,3,0,0
24-29,19,40,73,73,69,52,52,5,2,2,1
30-35,43,40,79,80,69,49,44,3,2,2,3
36-47,37,62,135,136,103,88,77,9,6,4,1
48-59,36,68,106,118,101,82,68,37,53,44,35
60-71,39,65,92,95,79,64,57,40,39,40,39
72-83,76,66,71,91,71,59,40,28,33,31,28
84-95,96,72,57,61,53,36,30,16,19,22,16
96-107,51,55,103,49,31,34,25,20,15,11,10
108-119,24,37,21,27,20,15,13,6,7,11,7
120-131,17,24,18,23,11,9,12,6,7,6,7
132-143,3,13,7,11,10,7,7,3,3,3,3
144-155,5,9,6,9,5,7,4,3,2,2,2
156-167,3,2,1,3,3,2,2,1,1,2,1
168-179,3,2,1,3,3,2,2,1,1,2,2
180-191,3,3,1,3,3,2,2,1,1,2,1
192-203,1,2,1,3,3,2,2,1,1,2,1
204-,1,2,1,3,3,2,2,1,1,2,1
