"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",0.502823837305353,0,0,0,0,0,0,0,0,0,0
"2",0.592688901541798,0,0.780176595343942,0,0,0,0,0,0,0,0
"3",0.728818810049268,0.547290186898638,0.558601277401074,0,0,0,0,0,0,0,0
"4",0.598198457518374,0.560306821118224,0.441619515582789,0.557100395164943,0,0,0,0,0,0,0
"5",0.528393559049585,0.401748409182067,0.49906862101552,0.55516100255141,0.416136574760726,0,0,0,0,0,0
"6",0.515155044248403,0.396905763145823,0.494924722462173,0,0.50092251047658,0,0,0,0,0,0
"7",0.567002205395421,0.484786998524946,0.389931947829041,0.352424744885141,0.407226579167255,0.538731577064729,0,0,0,0,0
"8",0.624287818047016,0.508321249315038,0.412899773582124,0.406012385972364,0.26124588890041,0.400338458712476,0,0,0,0,0
"9",0.625016879336799,0.525272382321322,0.531619151320695,0.383121948389282,0.291275392579095,0.327353419300276,0.321225095580082,0.492793580357661,0,0,0
"10",0.628311207222486,0.531875636384492,0.540988194254756,0.422579357877747,0.264659698510174,0.274947988272144,0.314359815385053,0.407226579123341,0,0,0
"11",0.567447667921154,0.499712612056283,0.465308981636835,0.39385640661596,0.219525254336602,0.277453079348788,0.256230424522059,0,0,0,0
"12",0.443454773833706,0.439487940532927,0.407081333531649,0.273056882378563,0.236345389013038,0.343867877626005,0.21294282029919,0,0,0,0
"13",0.329632247761456,0.406278103084288,0.367066029653559,0.396088508441999,0.307707518025948,0,0.344874909305441,0,0,0,0
"14",0.353777375570797,0.46050851899498,0.343563323210778,0.385768368613183,0.369687683138797,0.316072362159608,0.393715368750158,0,0,0,0
"15",1,0.604572569893001,0.341466831014997,0.304827236307281,0.430117582985214,0.334092147512679,0.356380795062407,0,0,0,0
"16",0.25,1,0.366903883104113,0.32659768835969,0.473330557630092,0.379407595767,0.416186476646471,0.636175053592349,0,0,0
"17",0.25,0.3333333,0,0.387833495980128,0.489063225430827,0.449246129203267,0.661616481018515,0.831363566922351,0,0.000591295,0.000437327
"18",0.25,0.3333333,0.138739,0,0.28282828,0,0.601882536034201,0,0,0.000553058,0.000591295
"19",0,0.3333333,0.138739,0,0.28282828,0.18821981,0,0,0,0.000607348,0.000553058
"20",0,0,0.138739,0.05190484,0.28282828,0.18821981,0,0,0,0,0.000607348
"21",0,0,0,0.05190484,0.28282828,0.18821981,0,0,0,0,0
"22",0,0,0,0,0.28282828,0.18821981,0,0,0.000774361,0.000847563,0
"23",0,0,0,0,0,0,0,0,0.000364054,0.000712156,0.000847563
"24",0,0,0,0,0,0,0,0,0.000432895,0.000351241,0.000712156
"25",0,0,0,0,0,0,0,0,0.012221617,0.000508828,0.000351241
"26",0,0,0,0,0,0,0,0,0.012221617,0.006696429,0.000508828
"27",0,0,0,0,0,0,0,0,0,0.006696429,0.006696429
"28",0,0,0,0,0,0,0,0,0,0,0.006696429
