,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
0-23,0,0,0,0,0,0,0,0,0,0
24-29,0,0,0,0,0,0,0,0,0,0
30-35,1,0,0,0,0,0,0,0,0,0
36-47,0,1,0,1.015873,0,0,0,0,0,0
48-59,9,5,4.012346,4.015873,0,0,0,0,0,0
60-71,15,17,3.006173,1,3,0,0,0,0,0
72-83,65,24,10.037037,5.063492,1,1,0,0,0,0
84-95,132,35,8.024691,7.031746,1,3,0,1,0,0
96-107,102,73,21.104938,4.031746,0,0,2,0,0,0
108-119,46,58,33.197531,13.190476,1,1,1,0,0,0
120-131,69,59,32.185185,19.301587,5,1,1,0,0,0
132-143,27,33,25.148148,34.539683,13,2,1,0,0,0
144-155,23,15,14.080247,20.301587,6,1,2,0,0,0
156-167,15,10,15.092593,14.222222,5,2,2,0,0,0
168-179,12,6,8.049383,8.126984,2,0,0,1,0,0
180-191,12,9,4.024691,3.047619,2,1,0,0,0,0
192-203,1,3,5.030864,3.047619,1,0,0,1,0,0
-204,1,1,1.006173,4.063492,0,0,0,0,0,0
