,AllYrs,First3,Last4
0-23,0.14243323,0.2222222,0.14243323
24-29,0.14243323,0.2222222,0.14243323
30-35,0.14243323,0.2222222,0.14243323
36-47,0.14243323,0.2222222,0.14243323
48-59,0.22336522,0.2564379,0.14243323
60-71,0.27623424,0.3053742,0.14243323
72-83,0.3791384,0.3977584,0.30535676
84-95,0.51146381,0.5365525,0.12394366
96-107,0.48834034,0.5288186,0.15486142
108-119,0.43623305,0.5116639,0.04920324
120-131,0.4524598,0.5303688,0
132-143,0.26673168,0.3668699,0.10850801
144-155,0.25805775,0.3736786,0.04917575
156-167,0.15256309,0.2356578,0.1161103
168-179,0.20934557,0.4781054,0.0916269
180-191,0.2817833,0.4520057,0.09868237
192-203,0.07962746,0,0
-204,0.08269482,0.3007769,0
p1,0.08269482,0.3007769,0
p2,0.08269482,0.3007769,0
p3,0.08269482,0.3007769,0
p4,0.08269482,0.3007769,0
p5,0.08269482,0.3007769,0
p6,0.08269482,0.3007769,0
