,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
0-23,0,0,0,0,0,0,0,0,0,0
24-29,0,0,0,0,0,0,0,0,0,0
30-35,0,0,0,1,0,0,0,0,0,0
36-47,3,2,2,5.041667,0,0,0,0,0,0
48-59,30,11.02381,17,14,0,0,1.03125,0,0,0
60-71,59,38.21429,37.117647,31.083333,10.142857,4.204545,4.03125,2,2,0
72-83,155,52.19048,41.176471,26.0625,15.057143,5.068182,1.03125,1,1,1
84-95,155,89,38.196078,18.0625,14.028571,10.136364,3,0,1,0
96-107,84,79.07143,41.098039,16.041667,15.028571,9.340909,5.03125,1,1,0
108-119,44,57.21429,44.078431,30.083333,11.085714,8.136364,6.1875,3,2,0
120-131,27,26.09524,32.156863,24.104167,22.2,2,3.15625,2,2,0
132-143,16,16.02381,25.137255,27.083333,23.4,12.272727,8.375,1,2,1
144-155,15,13.02381,19,22.166667,27.428571,16.545455,15.125,3,1,3
156-167,12,8,6.019608,7.104167,12.257143,16.75,9.3125,5,3,3
168-179,3,6,3.019608,5.041667,6.114286,8.272727,10.46875,5,4,2
180-191,5,5,7,5.0625,3.057143,5.204545,3.0625,4,3,2
192-203,4,3,4,0,4.085714,0,2.03125,2,2,2
-204,2,3,2,4.0625,4.114286,1.068182,6,2,3,3
