,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
1,0.5,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,0.1944444,0.3235294,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,0.1138462,0.2580645,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,0.0983146,0.2766798,0,0,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,0.1869328,0.3113553,0.2808068,0,0.7608696,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,0.1722222,0.1961853,0.2658272,0,0.5138889,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,0.0695725,0.1721068,0.1480272,0.04027899,0.4216867,0.5,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,0.115942,0.23,0.2137948,0.16214895,0.372093,0.6486486,1,0.6857143,0.4087385,NaN,NaN,NaN,NaN,NaN,NaN
9,0.2219741,0.2765191,0.308641,0.24594278,0.3105263,0.7555556,1,0.6486486,0.5222244,0.4516292,NaN,NaN,NaN,NaN,NaN
10,0.2870582,0.3159051,0.3300329,0.286844,0.3844011,0.7797619,0.7411765,0.8382353,0.9911944,0.5656312,0.4516292,NaN,NaN,NaN,NaN
11,0.4340102,0.4462433,0.4145636,0.36639069,0.4496314,0.7177419,0.6220472,0.8673469,0.9962174,0.9925687,0.5656312,0.4516292,NaN,NaN,NaN
12,0.6378888,0.6331633,0.6511896,0.45884741,0.6709957,0.3934426,0.7063492,1,0.9931054,0.9968203,0.9925687,0.5656312,0.4516292,NaN,NaN
13,0.745234,0.6981246,0.7600072,0.61807989,0.9322917,0.6170213,0.7391304,1,0.9920486,0.9942096,0.9968203,0.9925687,0.5656312,0.4516292,NaN
14,0.5880282,0.7403575,0.7685238,0.73012638,0.9635762,0.8951613,0.8032787,1,0.9909635,0.993209,0.9942096,0.9968203,0.9925687,0.5656312,0.4516292
15,0.7407407,0.7602524,0.8555819,0.87297921,0.9381443,0.8301887,0.6354167,1,0.9906646,0.9917398,0.993209,0.9942096,0.9968203,0.9925687,0.5656312
16,0.5,0.75,0.8535478,0.88500096,0.8535032,0.7470489,0.6941176,1,0.9903397,0.9914141,0.9917398,0.993209,0.9942096,0.9968203,0.9925687
17,0.5,0.75,1,0.74170386,0.7664671,0.8636364,1,0.7027027,0.9902713,0.99098,0.9914141,0.9917398,0.993209,0.9942096,0.9968203
18,0.5,0.75,1,0.34642577,1,1,1,0.4583333,0.9900783,0.9908536,0.99098,0.9914141,0.9917398,0.993209,0.9942096
19,NaN,0.75,1,1,1,1,1,1,0.9900926,0.9907578,0.9908536,0.99098,0.9914141,0.9917398,0.993209
20,NaN,NaN,1,1,1,1,1,1,0.9904367,0.9906777,0.9907578,0.9908536,0.99098,0.9914141,0.9917398
21,NaN,NaN,NaN,1,1,1,1,1,0.9906664,0.9878052,0.9906777,0.9907578,0.9908536,0.99098,0.9914141
22,NaN,NaN,NaN,NaN,1,1,1,1,0.987861,0.9823784,0.9878052,0.9906777,0.9907578,0.9908536,0.99098
23,NaN,NaN,NaN,NaN,NaN,1,1,1,0.9634339,0.9785357,0.9823784,0.9878052,0.9906777,0.9907578,0.9908536
24,NaN,NaN,NaN,NaN,NaN,NaN,1,1,0.9663184,0.942016,0.9785357,0.9823784,0.9878052,0.9906777,0.9907578
25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.997853,0.9519756,0.942016,0.9785357,0.9823784,0.9878052,0.9906777
26,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.997853,0.9975491,0.9519756,0.942016,0.9785357,0.9823784,0.9878052
27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.9975491,0.9975491,0.9519756,0.942016,0.9785357,0.9823784
28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.9975491,0.9975491,0.9519756,0.942016,0.9785357
29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.9975491,0.9975491,0.9519756,0.942016
30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.9975491,0.9975491,0.9519756
31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.9975491,0.9975491
32,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.9975491
